Specification,Kawasaki_2010_800SXR,Kawasaki_2010_STX15F,Kawasaki_2010_UltraLX,Kawasaki_2010_Ultra260X,Kawasaki_2011_800SXR,Kawasaki_2011_STX15F,Kawasaki_2011_UltraLX,Kawasaki_2011_Ultra300X,Kawasaki_2011_Ultra300LX,Kawasaki_2012_STX15F,Kawasaki_2012_UltraLX,Kawasaki_2012_Ultra300X,Kawasaki_2012_Ultra300LX,Kawasaki_2013_STX15F,Kawasaki_2013_UltraLX,Kawasaki_2013_Ultra300X,Kawasaki_2013_Ultra300LX,Kawasaki_2014_STX15F,Kawasaki_2014_UltraLX,Kawasaki_2014_Ultra310X,Kawasaki_2014_Ultra310R,Kawasaki_2014_Ultra310LX,Kawasaki_2015_STX15F,Kawasaki_2015_UltraLX,Kawasaki_2015_Ultra310X,Kawasaki_2015_Ultra310XSE,Kawasaki_2015_Ultra310R,Kawasaki_2015_Ultra310LX,SeaDoo_2010_GTI130,SeaDoo_2010_GTI155,SeaDoo_2010_GTX155,SeaDoo_2010_GTX215,SeaDoo_2010_GTXLimited215,SeaDoo_2010_GTXWake155,SeaDoo_2010_RXP215,SeaDoo_2010_RXTX255,SeaDoo_2010_RXT215,SeaDoo_2010_RXTiS255,SeaDoo_2014_Spark60,SeaDoo_2014_Spark90,SeaDoo_2015_Spark60,SeaDoo_2015_Spark90,SeaDoo_2015_SparkTrixx90,SeaDoo_2016_GTI130,SeaDoo_2016_GTI155,SeaDoo_2016_GTX155,SeaDoo_2016_GTXLimited155,SeaDoo_2016_RXPX300,SeaDoo_2016_RXTX300,SeaDoo_2021_Spark60,SeaDoo_2021_Spark90,SeaDoo_2021_SparkTrixx90,SeaDoo_2021_GTI130,SeaDoo_2021_GTI170,SeaDoo_2021_GTX170,SeaDoo_2021_GTXLimited300,SeaDoo_2021_RXPX325,SeaDoo_2025_Spark60,SeaDoo_2025_Spark90,SeaDoo_2025_GTI130,SeaDoo_2025_GTI170,SeaDoo_2025_GTX170,SeaDoo_2025_RXTX325,Yamaha_2010_VXSport,Yamaha_2010_VXCruiser,Yamaha_2010_VXDeluxe,Yamaha_2010_FX_HO,Yamaha_2010_FXSHO,Yamaha_2014_VXSport,Yamaha_2014_VXCruiser,Yamaha_2014_VXDeluxe,Yamaha_2014_FXHO,Yamaha_2014_FXSHO,Yamaha_2014_FXSVHO,Yamaha_2017_EX,Yamaha_2017_EXSport,Yamaha_2017_EXDeluxe,Yamaha_2021_EX,Yamaha_2021_VXCruiser,Yamaha_2021_VXCruiserHO,Yamaha_2021_VXLimited,Yamaha_2021_VXDeluxeHO,Yamaha_2021_FXHO,Yamaha_2021_FXSVHO,Yamaha_2021_FXCRUISERHO,Yamaha_2021_FXCRUISERSVHO,Yamaha_2021_FXLIMITEDSVHO,Yamaha_2025_JetBlaster,Yamaha_2025_VXCruiser,Yamaha_2025_VXHO,Yamaha_2025_VXLimited,Yamaha_2025_FXHO,Yamaha_2025_FXSVHO,Yamaha_2025_GPSVHO
Horsepower,80,160,160,260,80,160,160,300,300,160,160,300,300,160,160,300,300,160,160,310,310,310,160,160,310,310,310,310,130,155,155,215,215,155,215,255,215,255,60,90,60,90,90,130,155,155,155,300,300,60,90,90,130,170,170,300,325,60,90,130,170,170,325,110,110,110,180,210,110,110,110,180,210,250,100,100,100,100,110,180,110,180,180,210,180,210,210,110,110,180,110,180,210,250
Engine_Displacement_cc,781,1498,1498,1498,781,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,899,899,899,899,899,1630,1630,1630,1630,1630,1630,899,899,899,1630,1630,1630,1630,1630,899,899,1630,1630,1630,1630,1052,1052,1052,1812,1812,1052,1052,1052,1812,1812,1812,1049,1049,1049,1049,1052,1812,1052,1812,1812,1812,1812,1812,1812,1049,1900,1900,1900,1900,1812,1812
Engine_Type,2-stroke,4-stroke_NA,4-stroke_NA,4-stroke_SC,2-stroke,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_NA,4-stroke_SC,4-stroke_SC,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_NA,4-stroke_SC,4-stroke_SC
Fuel_Capacity_gal,5.3,16.4,20.6,20.6,5.3,16.4,20.6,20.6,20.6,16.4,20.6,20.6,20.6,16.4,20.6,20.6,20.6,16.4,20.6,20.6,20.6,20.6,16.4,20.6,20.6,20.6,20.6,20.6,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,7.9,7.9,7.9,7.9,7.9,15.9,15.9,15.9,15.9,15.9,15.9,7.9,7.9,7.9,15.9,15.9,15.9,15.9,15.9,7.9,7.9,15.9,15.9,15.9,15.9,10.6,18.5,18.5,18.5,18.5,10.6,18.5,18.5,18.5,18.5,18.5,10.6,10.6,10.6,10.6,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,10.6,18.5,18.5,18.5,18.5,18.5,18.5
Dry_Weight_lbs,370,845,1019,1019,370,845,1019,1019,1019,845,1019,1019,1019,845,1019,1019,1019,845,1019,1047,1047,1074,845,1019,1047,1047,1047,1074,635,693,693,748,748,693,748,748,748,748,405,421,405,421,421,635,693,693,693,748,748,405,421,421,635,693,693,748,748,405,421,635,693,693,748,502,680,680,766,766,502,680,680,766,766,766,531,531,531,531,680,766,680,766,766,766,766,766,766,531,680,766,680,766,766,766
Length_inches,95.3,122.8,132.7,132.7,95.3,122.8,132.7,132.7,132.7,122.8,132.7,132.7,132.7,122.8,132.7,132.7,132.7,122.8,132.7,132.7,132.7,132.7,122.8,132.7,132.7,132.7,132.7,132.7,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,103.1,103.1,103.1,103.1,103.1,139.4,139.4,139.4,139.4,139.4,139.4,103.1,103.1,103.1,139.4,139.4,139.4,139.4,139.4,103.1,103.1,139.4,139.4,139.4,139.4,122,139.8,139.8,139.8,139.8,122,139.8,139.8,139.8,139.8,139.8,122,122,122,122,139.8,139.8,139.8,139.8,139.8,139.8,139.8,139.8,139.8,122,139.8,139.8,139.8,139.8,139.8,139.8
Beam_Width_inches,27.2,46.5,47,47,27.2,46.5,47,47,47,46.5,47,47,47,46.5,47,47,47,46.5,47,47,47,47,46.5,47,47,47,47,47,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,29.4,29.4,29.4,29.4,29.4,45.1,45.1,45.1,45.1,45.1,45.1,29.4,29.4,29.4,45.1,45.1,45.1,45.1,45.1,29.4,29.4,45.1,45.1,45.1,45.1,41.7,47.8,47.8,47.8,47.8,41.7,47.8,47.8,47.8,47.8,47.8,37.4,37.4,37.4,37.4,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,37.4,47.8,47.8,47.8,47.8,47.8,47.8
Top_Speed_mph,48,62,55,67,48,62,55,67,67,62,55,67,67,62,55,67,67,62,55,67,67,67,62,55,67,67,67,67,50,55,55,63,63,55,63,67,63,67,40,50,40,50,50,50,55,55,55,67,67,40,50,50,50,57,57,67,70,40,50,50,57,57,70,50,54,54,65,67,50,54,54,65,67,67,45,45,45,45,54,65,54,65,65,67,65,67,67,50,54,65,54,65,67,67
MSRP_USD,7299,8999,10699,12899,7299,8999,10699,13999,14999,9499,10699,13999,14999,9499,10699,13999,14999,9699,10699,15299,16299,16999,9699,10699,15299,15799,16299,16999,7499,9299,10799,13299,14799,11799,13799,15199,13799,15199,4999,5999,4999,5999,6499,7499,9299,10799,11799,17999,18999,4999,5999,6499,7499,9299,10799,17999,19199,4999,5999,7499,9299,10799,19199,6199,7999,8499,12999,14999,6199,7999,8499,12999,14999,17999,5599,6099,6599,5599,7999,12999,8499,12999,14999,17999,14999,17999,17999,6799,7999,12999,8499,12999,17999,17999
Expected_Engine_Life_hours,250,400,400,400,250,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,300,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,400,400,400,300,300,400,400,400,400,400,400,300,300,400,400,400,400,400,300,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,400,400,400,400,400,400,400
Seating_Capacity,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
Storage_Capacity_gal,0.5,23.5,60,60,0.5,23.5,60,60,60,23.5,60,60,60,23.5,60,60,60,23.5,60,56,56,56,23.5,60,56,56,56,56,5.8,11.1,11.1,20.6,20.6,11.1,20.6,20.6,20.6,20.6,1.7,4.6,1.7,4.6,4.6,5.8,11.1,11.1,11.1,20.6,20.6,1.7,4.6,4.6,5.8,11.1,11.1,20.6,20.6,1.7,4.6,5.8,11.1,11.1,20.6,4.2,17.2,17.2,25.1,25.1,4.2,17.2,17.2,25.1,25.1,25.1,7.5,7.5,7.5,7.5,17.2,25.1,17.2,25.1,25.1,25.1,25.1,25.1,25.1,7.5,17.2,25.1,17.2,25.1,25.1,25.1